"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",3,3,1,1,8,2020-04-25
"20 - 24",4,5,3,0,12,2020-04-25
"25 - 29",7,1,5,2,15,2020-04-25
"30 - 34",8,11,12,1,32,2020-04-25
"35 - 39",13,13,13,3,42,2020-04-25
"40 - 44",19,13,20,3,55,2020-04-25
"45 - 49",49,41,47,14,151,2020-04-25
"50 - 54",78,84,66,15,243,2020-04-25
"55 - 59",102,115,74,57,348,2020-04-25
"60 - 64",138,157,70,77,442,2020-04-25
"65 - 69",106,160,91,132,489,2020-04-25
"70 - 74",110,176,81,170,537,2020-04-25
"75 - 79",64,67,43,139,313,2020-04-25
"80 - 84",8,11,5,36,60,2020-04-25
"85 - 89",4,2,0,6,12,2020-04-25
">90",1,1,0,0,2,2020-04-25
