"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,18,3,21,2021-05-28
"20 - 24",3,1,40,0,44,2021-05-28
"25 - 29",4,4,86,6,100,2021-05-28
"30 - 34",3,4,158,5,170,2021-05-28
"35 - 39",12,7,174,14,207,2021-05-28
"40 - 44",15,12,271,24,322,2021-05-28
"45 - 49",23,32,526,57,638,2021-05-28
"50 - 54",45,61,890,131,1127,2021-05-28
"55 - 59",64,88,1232,224,1608,2021-05-28
"60 - 64",56,66,1370,441,1933,2021-05-28
"65 - 69",59,113,1354,674,2200,2021-05-28
"70 - 74",77,94,1201,955,2327,2021-05-28
"75 - 79",25,33,616,662,1336,2021-05-28
"80 - 84",3,1,136,225,365,2021-05-28
"85 - 89",0,0,17,36,53,2021-05-28
">90",0,0,4,2,6,2021-05-28
