"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",2,0,7,1,10,2020-05-25
"20 - 24",2,1,7,0,10,2020-05-25
"25 - 29",5,1,8,2,16,2020-05-25
"30 - 34",8,2,21,1,32,2020-05-25
"35 - 39",11,1,24,6,42,2020-05-25
"40 - 44",8,6,39,3,56,2020-05-25
"45 - 49",29,10,98,20,157,2020-05-25
"50 - 54",50,20,151,22,243,2020-05-25
"55 - 59",59,32,202,75,368,2020-05-25
"60 - 64",94,39,219,95,447,2020-05-25
"65 - 69",78,43,206,172,499,2020-05-25
"70 - 74",78,52,209,213,552,2020-05-25
"75 - 79",40,20,94,159,313,2020-05-25
"80 - 84",10,4,10,41,65,2020-05-25
"85 - 89",2,0,3,7,12,2020-05-25
">90",0,0,1,0,1,2020-05-25
