"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",2,2,11,1,16,2021-01-21
"20 - 24",2,0,24,0,26,2021-01-21
"25 - 29",1,5,42,2,50,2021-01-21
"30 - 34",8,2,76,3,89,2021-01-21
"35 - 39",7,4,78,10,99,2021-01-21
"40 - 44",6,8,120,14,148,2021-01-21
"45 - 49",15,27,284,36,362,2021-01-21
"50 - 54",30,46,450,78,604,2021-01-21
"55 - 59",53,89,625,131,898,2021-01-21
"60 - 64",60,126,725,248,1159,2021-01-21
"65 - 69",61,135,676,391,1263,2021-01-21
"70 - 74",68,154,667,574,1463,2021-01-21
"75 - 79",46,59,350,439,894,2021-01-21
"80 - 84",4,10,90,161,265,2021-01-21
"85 - 89",2,1,12,29,44,2021-01-21
">90",0,0,2,2,4,2021-01-21
