"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,3,8,1,12,2020-10-27
"20 - 24",4,1,13,0,18,2020-10-27
"25 - 29",1,1,23,2,27,2020-10-27
"30 - 34",4,2,45,2,53,2020-10-27
"35 - 39",5,4,46,8,63,2020-10-27
"40 - 44",5,12,74,8,99,2020-10-27
"45 - 49",17,19,176,21,233,2020-10-27
"50 - 54",17,45,268,30,360,2020-10-27
"55 - 59",29,52,347,81,509,2020-10-27
"60 - 64",32,96,393,123,644,2020-10-27
"65 - 69",41,99,371,213,724,2020-10-27
"70 - 74",31,116,359,280,786,2020-10-27
"75 - 79",27,72,186,221,506,2020-10-27
"80 - 84",15,23,33,70,141,2020-10-27
"85 - 89",0,1,5,18,24,2020-10-27
">90",0,0,0,0,0,2020-10-27
