"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,15,2,17,2021-03-04
"20 - 24",3,0,30,0,33,2021-03-04
"25 - 29",3,4,54,3,64,2021-03-04
"30 - 34",6,3,90,3,102,2021-03-04
"35 - 39",3,9,98,11,121,2021-03-04
"40 - 44",8,12,151,17,188,2021-03-04
"45 - 49",19,27,343,43,432,2021-03-04
"50 - 54",33,38,567,93,731,2021-03-04
"55 - 59",50,76,792,162,1080,2021-03-04
"60 - 64",63,107,929,299,1398,2021-03-04
"65 - 69",66,105,867,471,1509,2021-03-04
"70 - 74",53,116,830,693,1692,2021-03-04
"75 - 79",36,49,441,503,1029,2021-03-04
"80 - 84",7,8,106,188,309,2021-03-04
"85 - 89",1,0,15,31,47,2021-03-04
">90",0,0,3,2,5,2021-03-04
