"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,1,20,3,24,2021-07-04
"20 - 24",3,1,45,0,49,2021-07-04
"25 - 29",0,1,94,6,101,2021-07-04
"30 - 34",2,1,164,6,173,2021-07-04
"35 - 39",2,3,192,14,211,2021-07-04
"40 - 44",5,5,294,26,330,2021-07-04
"45 - 49",11,7,570,65,653,2021-07-04
"50 - 54",23,11,980,140,1154,2021-07-04
"55 - 59",20,20,1357,247,1644,2021-07-04
"60 - 64",14,21,1469,449,1953,2021-07-04
"65 - 69",17,20,1472,713,2222,2021-07-04
"70 - 74",21,16,1306,989,2332,2021-07-04
"75 - 79",7,5,649,683,1344,2021-07-04
"80 - 84",0,1,139,228,368,2021-07-04
"85 - 89",0,0,17,37,54,2021-07-04
">90",0,0,4,2,6,2021-07-04
