"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,9,1,10,2020-06-07
"20 - 24",2,2,7,0,11,2020-06-07
"25 - 29",3,1,10,2,16,2020-06-07
"30 - 34",9,0,22,3,34,2020-06-07
"35 - 39",9,1,25,6,41,2020-06-07
"40 - 44",7,3,43,3,56,2020-06-07
"45 - 49",23,6,113,20,162,2020-06-07
"50 - 54",47,11,171,23,252,2020-06-07
"55 - 59",52,15,228,75,370,2020-06-07
"60 - 64",75,20,259,98,452,2020-06-07
"65 - 69",53,26,249,174,502,2020-06-07
"70 - 74",62,32,239,219,552,2020-06-07
"75 - 79",35,17,107,161,320,2020-06-07
"80 - 84",3,3,16,42,64,2020-06-07
"85 - 89",2,1,3,8,14,2020-06-07
">90",0,0,1,0,1,2020-06-07
