"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,18,3,21,2021-04-26
"20 - 24",3,1,35,0,39,2021-04-26
"25 - 29",2,4,74,4,84,2021-04-26
"30 - 34",14,12,120,4,150,2021-04-26
"35 - 39",14,14,146,13,187,2021-04-26
"40 - 44",14,12,224,21,271,2021-04-26
"45 - 49",33,31,439,51,554,2021-04-26
"50 - 54",66,71,743,114,994,2021-04-26
"55 - 59",78,106,1026,204,1414,2021-04-26
"60 - 64",79,122,1182,394,1777,2021-04-26
"65 - 69",95,188,1131,584,1998,2021-04-26
"70 - 74",94,172,1014,838,2118,2021-04-26
"75 - 79",34,78,551,603,1266,2021-04-26
"80 - 84",7,8,126,214,355,2021-04-26
"85 - 89",1,1,16,33,51,2021-04-26
">90",0,0,4,2,6,2021-04-26
