"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,1,15,2,18,2021-02-24
"20 - 24",2,1,29,0,32,2021-02-24
"25 - 29",0,4,52,3,59,2021-02-24
"30 - 34",3,3,88,3,97,2021-02-24
"35 - 39",2,10,92,11,115,2021-02-24
"40 - 44",9,6,142,16,173,2021-02-24
"45 - 49",23,19,328,41,411,2021-02-24
"50 - 54",22,47,547,88,704,2021-02-24
"55 - 59",53,73,755,157,1038,2021-02-24
"60 - 64",57,106,891,292,1346,2021-02-24
"65 - 69",61,104,836,461,1462,2021-02-24
"70 - 74",55,101,804,680,1640,2021-02-24
"75 - 79",32,52,426,491,1001,2021-02-24
"80 - 84",7,9,101,183,300,2021-02-24
"85 - 89",1,0,15,31,47,2021-02-24
">90",0,0,3,2,5,2021-02-24
