"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,1,18,3,22,2021-06-14
"20 - 24",3,0,44,0,47,2021-06-14
"25 - 29",2,0,91,6,99,2021-06-14
"30 - 34",2,4,160,5,171,2021-06-14
"35 - 39",9,3,183,14,209,2021-06-14
"40 - 44",11,7,286,25,329,2021-06-14
"45 - 49",19,15,550,62,646,2021-06-14
"50 - 54",41,27,941,136,1145,2021-06-14
"55 - 59",44,54,1306,236,1640,2021-06-14
"60 - 64",29,36,1437,447,1949,2021-06-14
"65 - 69",51,54,1407,704,2216,2021-06-14
"70 - 74",45,49,1268,973,2335,2021-06-14
"75 - 79",14,14,637,678,1343,2021-06-14
"80 - 84",2,0,137,228,367,2021-06-14
"85 - 89",0,0,17,36,53,2021-06-14
">90",0,0,4,2,6,2021-06-14
