"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",3,2,10,1,16,2021-01-19
"20 - 24",1,1,24,0,26,2021-01-19
"25 - 29",1,4,42,2,49,2021-01-19
"30 - 34",7,3,75,3,88,2021-01-19
"35 - 39",6,6,78,9,99,2021-01-19
"40 - 44",6,8,118,14,146,2021-01-19
"45 - 49",18,30,276,36,360,2021-01-19
"50 - 54",32,51,444,76,603,2021-01-19
"55 - 59",54,86,616,131,887,2021-01-19
"60 - 64",70,121,708,246,1145,2021-01-19
"65 - 69",61,140,668,389,1258,2021-01-19
"70 - 74",73,159,655,567,1454,2021-01-19
"75 - 79",46,59,344,435,884,2021-01-19
"80 - 84",4,9,89,160,262,2021-01-19
"85 - 89",2,1,12,29,44,2021-01-19
">90",0,0,2,2,4,2021-01-19
