"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",2,2,9,1,14,2021-01-13
"20 - 24",2,1,23,0,26,2021-01-13
"25 - 29",1,2,41,2,46,2021-01-13
"30 - 34",4,3,74,3,84,2021-01-13
"35 - 39",9,5,75,9,98,2021-01-13
"40 - 44",6,9,116,12,143,2021-01-13
"45 - 49",17,30,267,34,348,2021-01-13
"50 - 54",33,51,432,72,588,2021-01-13
"55 - 59",51,84,596,128,859,2021-01-13
"60 - 64",57,111,683,242,1093,2021-01-13
"65 - 69",65,156,639,371,1231,2021-01-13
"70 - 74",64,167,639,542,1412,2021-01-13
"75 - 79",49,71,328,421,869,2021-01-13
"80 - 84",10,12,84,159,265,2021-01-13
"85 - 89",1,1,11,29,42,2021-01-13
">90",0,0,2,2,4,2021-01-13
