"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,1,8,1,10,2020-08-06
"20 - 24",2,1,8,0,11,2020-08-06
"25 - 29",0,1,16,2,19,2020-08-06
"30 - 34",1,1,33,3,38,2020-08-06
"35 - 39",2,0,33,6,41,2020-08-06
"40 - 44",1,2,55,5,63,2020-08-06
"45 - 49",5,2,136,18,161,2020-08-06
"50 - 54",8,2,219,23,252,2020-08-06
"55 - 59",9,3,292,74,378,2020-08-06
"60 - 64",14,6,332,101,453,2020-08-06
"65 - 69",12,5,311,184,512,2020-08-06
"70 - 74",14,7,305,231,557,2020-08-06
"75 - 79",9,4,144,165,322,2020-08-06
"80 - 84",3,2,19,45,69,2020-08-06
"85 - 89",1,0,4,10,15,2020-08-06
">90",0,0,0,0,0,2020-08-06
