"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,18,3,21,2021-06-11
"20 - 24",3,0,43,0,46,2021-06-11
"25 - 29",3,1,90,6,100,2021-06-11
"30 - 34",3,3,159,5,170,2021-06-11
"35 - 39",11,5,180,14,210,2021-06-11
"40 - 44",11,8,284,25,328,2021-06-11
"45 - 49",19,17,548,62,646,2021-06-11
"50 - 54",40,30,936,136,1142,2021-06-11
"55 - 59",46,62,1296,233,1637,2021-06-11
"60 - 64",32,35,1431,447,1945,2021-06-11
"65 - 69",56,62,1396,704,2218,2021-06-11
"70 - 74",49,50,1262,972,2333,2021-06-11
"75 - 79",14,15,636,677,1342,2021-06-11
"80 - 84",2,0,137,228,367,2021-06-11
"85 - 89",0,0,17,36,53,2021-06-11
">90",0,0,4,2,6,2021-06-11
