"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,1,18,2,21,2021-04-22
"20 - 24",2,2,35,0,39,2021-04-22
"25 - 29",2,2,72,4,80,2021-04-22
"30 - 34",13,11,119,4,147,2021-04-22
"35 - 39",16,14,139,13,182,2021-04-22
"40 - 44",12,16,217,21,266,2021-04-22
"45 - 49",29,32,428,51,540,2021-04-22
"50 - 54",55,77,732,112,976,2021-04-22
"55 - 59",85,104,1004,201,1394,2021-04-22
"60 - 64",87,121,1154,385,1747,2021-04-22
"65 - 69",89,185,1102,571,1947,2021-04-22
"70 - 74",82,175,997,825,2079,2021-04-22
"75 - 79",34,80,544,593,1251,2021-04-22
"80 - 84",9,7,124,214,354,2021-04-22
"85 - 89",2,1,16,33,52,2021-04-22
">90",0,0,4,2,6,2021-04-22
