"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,15,2,17,2021-02-27
"20 - 24",2,1,29,0,32,2021-02-27
"25 - 29",2,2,52,3,59,2021-02-27
"30 - 34",5,3,88,3,99,2021-02-27
"35 - 39",5,8,92,11,116,2021-02-27
"40 - 44",7,8,146,16,177,2021-02-27
"45 - 49",17,26,336,43,422,2021-02-27
"50 - 54",32,41,553,89,715,2021-02-27
"55 - 59",55,72,770,158,1055,2021-02-27
"60 - 64",64,97,906,295,1362,2021-02-27
"65 - 69",62,99,845,466,1472,2021-02-27
"70 - 74",61,99,813,683,1656,2021-02-27
"75 - 79",29,50,434,496,1009,2021-02-27
"80 - 84",5,10,104,184,303,2021-02-27
"85 - 89",1,0,15,31,47,2021-02-27
">90",0,0,3,2,5,2021-02-27
