"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,7,1,8,2020-09-16
"20 - 24",1,0,10,0,11,2020-09-16
"25 - 29",1,0,18,2,21,2020-09-16
"30 - 34",0,0,36,2,38,2020-09-16
"35 - 39",2,1,39,6,48,2020-09-16
"40 - 44",1,5,57,5,68,2020-09-16
"45 - 49",2,4,149,18,173,2020-09-16
"50 - 54",10,7,232,23,272,2020-09-16
"55 - 59",7,6,306,76,395,2020-09-16
"60 - 64",6,8,356,108,478,2020-09-16
"65 - 69",11,10,327,191,539,2020-09-16
"70 - 74",6,17,330,234,587,2020-09-16
"75 - 79",6,12,158,169,345,2020-09-16
"80 - 84",3,0,26,49,78,2020-09-16
"85 - 89",0,2,4,11,17,2020-09-16
">90",0,0,0,0,0,2020-09-16
