"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,7,1,8,2020-08-18
"20 - 24",2,1,9,0,12,2020-08-18
"25 - 29",1,0,17,2,20,2020-08-18
"30 - 34",1,1,33,3,38,2020-08-18
"35 - 39",3,2,33,6,44,2020-08-18
"40 - 44",1,2,55,5,63,2020-08-18
"45 - 49",4,4,140,18,166,2020-08-18
"50 - 54",7,7,222,22,258,2020-08-18
"55 - 59",9,3,295,74,381,2020-08-18
"60 - 64",15,11,333,102,461,2020-08-18
"65 - 69",11,11,316,188,526,2020-08-18
"70 - 74",14,5,310,231,560,2020-08-18
"75 - 79",11,5,146,165,327,2020-08-18
"80 - 84",5,1,20,48,74,2020-08-18
"85 - 89",1,0,4,10,15,2020-08-18
">90",0,0,0,0,0,2020-08-18
