"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",1,1,19,3,24,2021-06-25
"20 - 24",3,1,45,0,49,2021-06-25
"25 - 29",1,0,93,6,100,2021-06-25
"30 - 34",2,2,162,6,172,2021-06-25
"35 - 39",6,2,188,14,210,2021-06-25
"40 - 44",7,6,293,25,331,2021-06-25
"45 - 49",15,10,563,63,651,2021-06-25
"50 - 54",28,19,971,137,1155,2021-06-25
"55 - 59",28,30,1340,244,1642,2021-06-25
"60 - 64",21,28,1456,448,1953,2021-06-25
"65 - 69",32,30,1447,711,2220,2021-06-25
"70 - 74",32,23,1292,984,2331,2021-06-25
"75 - 79",7,9,646,682,1344,2021-06-25
"80 - 84",1,1,138,228,368,2021-06-25
"85 - 89",0,0,17,37,54,2021-06-25
">90",0,0,4,2,6,2021-06-25
