"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",1,1,7,1,10,2020-09-29
"20 - 24",2,0,10,0,12,2020-09-29
"25 - 29",3,1,19,2,25,2020-09-29
"30 - 34",1,3,36,2,42,2020-09-29
"35 - 39",2,3,39,6,50,2020-09-29
"40 - 44",4,6,61,5,76,2020-09-29
"45 - 49",5,10,153,18,186,2020-09-29
"50 - 54",7,13,239,24,283,2020-09-29
"55 - 59",8,13,313,76,410,2020-09-29
"60 - 64",7,17,360,109,493,2020-09-29
"65 - 69",11,35,332,192,570,2020-09-29
"70 - 74",5,33,333,239,610,2020-09-29
"75 - 79",7,18,163,176,364,2020-09-29
"80 - 84",3,5,25,49,82,2020-09-29
"85 - 89",1,0,4,13,18,2020-09-29
">90",0,0,0,0,0,2020-09-29
