"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,4,9,1,14,2020-11-01
"20 - 24",5,2,13,0,20,2020-11-01
"25 - 29",2,1,23,2,28,2020-11-01
"30 - 34",5,1,46,2,54,2020-11-01
"35 - 39",4,4,49,8,65,2020-11-01
"40 - 44",5,11,77,8,101,2020-11-01
"45 - 49",16,22,183,22,243,2020-11-01
"50 - 54",24,41,276,32,373,2020-11-01
"55 - 59",28,71,361,85,545,2020-11-01
"60 - 64",41,105,406,128,680,2020-11-01
"65 - 69",43,110,395,219,767,2020-11-01
"70 - 74",40,133,369,296,838,2020-11-01
"75 - 79",23,76,199,234,532,2020-11-01
"80 - 84",17,27,34,76,154,2020-11-01
"85 - 89",1,0,5,18,24,2020-11-01
">90",1,0,0,1,2,2020-11-01
