"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,1,15,2,18,2021-03-08
"20 - 24",3,1,30,0,34,2021-03-08
"25 - 29",4,2,55,3,64,2021-03-08
"30 - 34",7,5,90,3,105,2021-03-08
"35 - 39",5,9,100,11,125,2021-03-08
"40 - 44",8,8,157,17,190,2021-03-08
"45 - 49",21,22,347,43,433,2021-03-08
"50 - 54",32,44,576,94,746,2021-03-08
"55 - 59",57,84,802,164,1107,2021-03-08
"60 - 64",62,114,943,302,1421,2021-03-08
"65 - 69",70,107,873,475,1525,2021-03-08
"70 - 74",58,112,839,703,1712,2021-03-08
"75 - 79",32,44,452,509,1037,2021-03-08
"80 - 84",11,8,106,188,313,2021-03-08
"85 - 89",1,0,15,31,47,2021-03-08
">90",0,0,3,2,5,2021-03-08
