"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",5,0,1,1,7,2020-05-09
"20 - 24",3,2,5,0,10,2020-05-09
"25 - 29",4,2,7,2,15,2020-05-09
"30 - 34",8,6,16,1,31,2020-05-09
"35 - 39",17,3,16,4,40,2020-05-09
"40 - 44",19,8,27,3,57,2020-05-09
"45 - 49",31,27,75,18,151,2020-05-09
"50 - 54",67,47,105,18,237,2020-05-09
"55 - 59",100,62,128,68,358,2020-05-09
"60 - 64",128,96,138,85,447,2020-05-09
"65 - 69",96,107,141,153,497,2020-05-09
"70 - 74",101,103,140,201,545,2020-05-09
"75 - 79",55,41,62,154,312,2020-05-09
"80 - 84",12,6,6,38,62,2020-05-09
"85 - 89",3,0,1,7,11,2020-05-09
">90",1,0,1,0,2,2020-05-09
