"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,18,3,21,2021-06-13
"20 - 24",2,0,44,0,46,2021-06-13
"25 - 29",2,0,91,6,99,2021-06-13
"30 - 34",2,3,160,5,170,2021-06-13
"35 - 39",10,5,181,14,210,2021-06-13
"40 - 44",12,7,284,25,328,2021-06-13
"45 - 49",19,18,548,62,647,2021-06-13
"50 - 54",37,30,939,136,1142,2021-06-13
"55 - 59",44,58,1300,235,1637,2021-06-13
"60 - 64",31,34,1434,447,1946,2021-06-13
"65 - 69",53,59,1400,704,2216,2021-06-13
"70 - 74",45,51,1267,973,2336,2021-06-13
"75 - 79",14,15,636,678,1343,2021-06-13
"80 - 84",2,0,137,228,367,2021-06-13
"85 - 89",0,0,17,36,53,2021-06-13
">90",0,0,4,2,6,2021-06-13
