"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,1,8,1,10,2020-10-11
"20 - 24",2,0,11,0,13,2020-10-11
"25 - 29",1,0,22,2,25,2020-10-11
"30 - 34",2,2,39,2,45,2020-10-11
"35 - 39",4,4,41,7,56,2020-10-11
"40 - 44",6,7,65,6,84,2020-10-11
"45 - 49",8,11,163,19,201,2020-10-11
"50 - 54",10,18,249,27,304,2020-10-11
"55 - 59",11,23,323,80,437,2020-10-11
"60 - 64",14,37,366,114,531,2020-10-11
"65 - 69",18,47,341,198,604,2020-10-11
"70 - 74",17,55,339,247,658,2020-10-11
"75 - 79",9,39,171,183,402,2020-10-11
"80 - 84",3,10,29,53,95,2020-10-11
"85 - 89",1,0,5,15,21,2020-10-11
">90",0,0,0,0,0,2020-10-11
