"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,18,3,21,2021-05-31
"20 - 24",2,1,41,0,44,2021-05-31
"25 - 29",6,3,86,6,101,2021-05-31
"30 - 34",3,5,158,5,171,2021-05-31
"35 - 39",12,7,175,14,208,2021-05-31
"40 - 44",14,12,272,25,323,2021-05-31
"45 - 49",25,28,527,61,641,2021-05-31
"50 - 54",42,57,902,132,1133,2021-05-31
"55 - 59",63,79,1246,226,1614,2021-05-31
"60 - 64",62,59,1377,442,1940,2021-05-31
"65 - 69",59,102,1365,678,2204,2021-05-31
"70 - 74",74,85,1211,958,2328,2021-05-31
"75 - 79",25,32,619,664,1340,2021-05-31
"80 - 84",3,1,136,226,366,2021-05-31
"85 - 89",0,0,17,36,53,2021-05-31
">90",0,0,4,2,6,2021-05-31
