"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,1,8,1,10,2020-10-15
"20 - 24",2,2,11,0,15,2020-10-15
"25 - 29",1,1,22,2,26,2020-10-15
"30 - 34",2,3,40,2,47,2020-10-15
"35 - 39",5,4,41,7,57,2020-10-15
"40 - 44",6,8,66,7,87,2020-10-15
"45 - 49",5,16,168,19,208,2020-10-15
"50 - 54",9,25,253,29,316,2020-10-15
"55 - 59",16,25,329,80,450,2020-10-15
"60 - 64",19,54,371,115,559,2020-10-15
"65 - 69",20,59,344,200,623,2020-10-15
"70 - 74",17,74,346,251,688,2020-10-15
"75 - 79",9,51,176,190,426,2020-10-15
"80 - 84",9,16,29,57,111,2020-10-15
"85 - 89",0,0,5,17,22,2020-10-15
">90",0,0,0,0,0,2020-10-15
