"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,10,1,11,2020-07-14
"20 - 24",3,1,7,0,11,2020-07-14
"25 - 29",1,1,14,2,18,2020-07-14
"30 - 34",0,1,32,3,36,2020-07-14
"35 - 39",1,1,34,6,42,2020-07-14
"40 - 44",1,2,52,5,60,2020-07-14
"45 - 49",7,0,135,19,161,2020-07-14
"50 - 54",14,4,212,24,254,2020-07-14
"55 - 59",21,5,277,76,379,2020-07-14
"60 - 64",20,4,323,100,447,2020-07-14
"65 - 69",13,7,307,183,510,2020-07-14
"70 - 74",20,6,298,230,554,2020-07-14
"75 - 79",15,5,138,164,322,2020-07-14
"80 - 84",2,1,19,44,66,2020-07-14
"85 - 89",1,0,4,10,15,2020-07-14
">90",0,0,0,0,0,2020-07-14
