"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",1,1,9,1,12,2020-12-26
"20 - 24",2,1,20,0,23,2020-12-26
"25 - 29",5,0,36,2,43,2020-12-26
"30 - 34",4,1,70,3,78,2020-12-26
"35 - 39",5,4,69,9,87,2020-12-26
"40 - 44",7,8,106,11,132,2020-12-26
"45 - 49",15,21,244,31,311,2020-12-26
"50 - 54",24,50,392,59,525,2020-12-26
"55 - 59",54,81,518,115,768,2020-12-26
"60 - 64",42,100,610,212,964,2020-12-26
"65 - 69",49,128,562,333,1072,2020-12-26
"70 - 74",68,142,563,458,1231,2020-12-26
"75 - 79",28,79,293,376,776,2020-12-26
"80 - 84",8,14,73,143,238,2020-12-26
"85 - 89",1,1,8,26,36,2020-12-26
">90",0,0,2,2,4,2020-12-26
