"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,18,3,21,2021-05-27
"20 - 24",3,0,40,0,43,2021-05-27
"25 - 29",4,5,86,6,101,2021-05-27
"30 - 34",5,3,155,5,168,2021-05-27
"35 - 39",16,9,169,14,208,2021-05-27
"40 - 44",20,12,266,24,322,2021-05-27
"45 - 49",29,31,519,56,635,2021-05-27
"50 - 54",50,61,884,130,1125,2021-05-27
"55 - 59",77,91,1216,224,1608,2021-05-27
"60 - 64",67,70,1354,441,1932,2021-05-27
"65 - 69",73,114,1340,673,2200,2021-05-27
"70 - 74",82,102,1192,950,2326,2021-05-27
"75 - 79",29,37,613,660,1339,2021-05-27
"80 - 84",5,1,134,225,365,2021-05-27
"85 - 89",0,0,17,36,53,2021-05-27
">90",0,0,4,2,6,2021-05-27
