"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,18,3,21,2021-05-08
"20 - 24",2,2,37,0,41,2021-05-08
"25 - 29",3,2,77,5,87,2021-05-08
"30 - 34",10,10,136,4,160,2021-05-08
"35 - 39",18,11,154,13,196,2021-05-08
"40 - 44",19,18,237,22,296,2021-05-08
"45 - 49",41,40,463,52,596,2021-05-08
"50 - 54",49,68,809,124,1050,2021-05-08
"55 - 59",80,109,1103,215,1507,2021-05-08
"60 - 64",86,117,1248,411,1862,2021-05-08
"65 - 69",92,171,1226,625,2114,2021-05-08
"70 - 74",91,165,1091,893,2240,2021-05-08
"75 - 79",36,56,578,634,1304,2021-05-08
"80 - 84",6,2,130,220,358,2021-05-08
"85 - 89",1,0,16,35,52,2021-05-08
">90",0,0,4,2,6,2021-05-08
