"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,9,1,10,2020-06-02
"20 - 24",2,1,7,0,10,2020-06-02
"25 - 29",4,1,9,2,16,2020-06-02
"30 - 34",9,0,21,2,32,2020-06-02
"35 - 39",9,2,25,6,42,2020-06-02
"40 - 44",8,1,44,3,56,2020-06-02
"45 - 49",27,6,108,20,161,2020-06-02
"50 - 54",46,15,167,23,251,2020-06-02
"55 - 59",55,20,220,75,370,2020-06-02
"60 - 64",83,22,249,98,452,2020-06-02
"65 - 69",59,33,237,173,502,2020-06-02
"70 - 74",66,37,231,217,551,2020-06-02
"75 - 79",32,17,105,161,315,2020-06-02
"80 - 84",4,2,17,41,64,2020-06-02
"85 - 89",2,0,3,8,13,2020-06-02
">90",0,0,1,0,1,2020-06-02
