"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",1,0,13,2,16,2021-02-14
"20 - 24",3,1,26,0,30,2021-02-14
"25 - 29",5,4,46,3,58,2021-02-14
"30 - 34",5,3,86,3,97,2021-02-14
"35 - 39",2,1,91,11,105,2021-02-14
"40 - 44",9,9,132,16,166,2021-02-14
"45 - 49",19,23,316,40,398,2021-02-14
"50 - 54",35,41,509,83,668,2021-02-14
"55 - 59",49,75,719,147,990,2021-02-14
"60 - 64",51,109,853,283,1296,2021-02-14
"65 - 69",57,100,799,446,1402,2021-02-14
"70 - 74",69,98,752,662,1581,2021-02-14
"75 - 79",26,47,411,479,963,2021-02-14
"80 - 84",9,9,98,178,294,2021-02-14
"85 - 89",2,0,14,31,47,2021-02-14
">90",0,0,3,2,5,2021-02-14
