"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,10,1,11,2020-07-22
"20 - 24",3,1,7,0,11,2020-07-22
"25 - 29",2,0,14,2,18,2020-07-22
"30 - 34",0,1,32,3,36,2020-07-22
"35 - 39",1,2,34,6,43,2020-07-22
"40 - 44",2,2,52,5,61,2020-07-22
"45 - 49",6,0,136,19,161,2020-07-22
"50 - 54",12,2,215,23,252,2020-07-22
"55 - 59",15,3,283,76,377,2020-07-22
"60 - 64",21,2,325,100,448,2020-07-22
"65 - 69",13,5,310,183,511,2020-07-22
"70 - 74",15,8,301,229,553,2020-07-22
"75 - 79",11,6,140,164,321,2020-07-22
"80 - 84",2,0,19,44,65,2020-07-22
"85 - 89",1,0,4,10,15,2020-07-22
">90",0,0,0,0,0,2020-07-22
