"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",2,0,6,1,9,2020-05-16
"20 - 24",3,1,6,0,10,2020-05-16
"25 - 29",4,4,7,2,17,2020-05-16
"30 - 34",9,3,18,1,31,2020-05-16
"35 - 39",12,2,21,4,39,2020-05-16
"40 - 44",14,6,33,3,56,2020-05-16
"45 - 49",31,20,84,20,155,2020-05-16
"50 - 54",53,28,133,20,234,2020-05-16
"55 - 59",76,41,172,73,362,2020-05-16
"60 - 64",115,63,179,90,447,2020-05-16
"65 - 69",93,65,176,163,497,2020-05-16
"70 - 74",90,73,175,208,546,2020-05-16
"75 - 79",41,27,85,156,309,2020-05-16
"80 - 84",11,3,9,39,62,2020-05-16
"85 - 89",1,0,3,7,11,2020-05-16
">90",1,0,1,0,2,2020-05-16
