"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,9,1,10,2020-06-05
"20 - 24",2,2,7,0,11,2020-06-05
"25 - 29",3,1,10,2,16,2020-06-05
"30 - 34",9,0,22,2,33,2020-06-05
"35 - 39",9,1,25,6,41,2020-06-05
"40 - 44",8,2,44,3,57,2020-06-05
"45 - 49",23,5,113,20,161,2020-06-05
"50 - 54",48,12,169,23,252,2020-06-05
"55 - 59",52,16,228,75,371,2020-06-05
"60 - 64",76,22,258,99,455,2020-06-05
"65 - 69",51,28,249,174,502,2020-06-05
"70 - 74",60,34,239,219,552,2020-06-05
"75 - 79",34,17,106,162,319,2020-06-05
"80 - 84",3,3,18,42,66,2020-06-05
"85 - 89",2,0,3,8,13,2020-06-05
">90",0,0,1,0,1,2020-06-05
