"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,18,3,21,2021-06-05
"20 - 24",2,2,42,0,46,2021-06-05
"25 - 29",5,2,87,6,100,2021-06-05
"30 - 34",2,4,159,5,170,2021-06-05
"35 - 39",9,6,180,14,209,2021-06-05
"40 - 44",17,5,277,25,324,2021-06-05
"45 - 49",23,22,537,61,643,2021-06-05
"50 - 54",41,45,918,133,1137,2021-06-05
"55 - 59",56,59,1271,231,1617,2021-06-05
"60 - 64",48,45,1403,445,1941,2021-06-05
"65 - 69",56,88,1380,692,2216,2021-06-05
"70 - 74",67,61,1235,964,2327,2021-06-05
"75 - 79",18,23,628,672,1341,2021-06-05
"80 - 84",3,0,136,228,367,2021-06-05
"85 - 89",0,0,17,36,53,2021-06-05
">90",0,0,4,2,6,2021-06-05
