"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,17,2,19,2021-04-06
"20 - 24",2,0,34,0,36,2021-04-06
"25 - 29",0,6,65,3,74,2021-04-06
"30 - 34",10,4,109,3,126,2021-04-06
"35 - 39",9,19,123,12,163,2021-04-06
"40 - 44",16,17,190,17,240,2021-04-06
"45 - 49",23,32,399,45,499,2021-04-06
"50 - 54",39,72,667,105,883,2021-04-06
"55 - 59",75,93,931,186,1285,2021-04-06
"60 - 64",66,115,1088,349,1618,2021-04-06
"65 - 69",86,160,1012,524,1782,2021-04-06
"70 - 74",62,152,933,774,1921,2021-04-06
"75 - 79",35,83,508,555,1181,2021-04-06
"80 - 84",9,8,119,203,339,2021-04-06
"85 - 89",2,0,15,33,50,2021-04-06
">90",1,0,3,2,6,2021-04-06
