"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",2,2,11,1,16,2021-01-20
"20 - 24",2,0,24,0,26,2021-01-20
"25 - 29",1,4,42,2,49,2021-01-20
"30 - 34",8,2,75,3,88,2021-01-20
"35 - 39",7,4,78,9,98,2021-01-20
"40 - 44",6,7,120,14,147,2021-01-20
"45 - 49",17,29,279,36,361,2021-01-20
"50 - 54",31,47,447,77,602,2021-01-20
"55 - 59",52,87,621,131,891,2021-01-20
"60 - 64",66,122,717,247,1152,2021-01-20
"65 - 69",59,139,673,390,1261,2021-01-20
"70 - 74",71,155,662,569,1457,2021-01-20
"75 - 79",44,58,347,437,886,2021-01-20
"80 - 84",4,9,89,160,262,2021-01-20
"85 - 89",2,1,12,29,44,2021-01-20
">90",0,0,2,2,4,2021-01-20
