"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,1,10,1,12,2020-11-28
"20 - 24",3,0,19,0,22,2020-11-28
"25 - 29",2,1,28,2,33,2020-11-28
"30 - 34",2,5,59,2,68,2020-11-28
"35 - 39",5,2,56,9,72,2020-11-28
"40 - 44",8,5,93,10,116,2020-11-28
"45 - 49",8,11,227,27,273,2020-11-28
"50 - 54",21,39,338,44,442,2020-11-28
"55 - 59",43,77,437,99,656,2020-11-28
"60 - 64",62,90,512,170,834,2020-11-28
"65 - 69",48,94,479,288,909,2020-11-28
"70 - 74",49,130,476,381,1036,2020-11-28
"75 - 79",31,60,240,316,647,2020-11-28
"80 - 84",19,10,53,117,199,2020-11-28
"85 - 89",2,3,6,19,30,2020-11-28
">90",0,0,1,3,4,2020-11-28
