"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",1,0,13,2,16,2021-02-12
"20 - 24",3,1,26,0,30,2021-02-12
"25 - 29",5,3,46,3,57,2021-02-12
"30 - 34",4,2,86,3,95,2021-02-12
"35 - 39",3,0,90,11,104,2021-02-12
"40 - 44",8,9,132,16,165,2021-02-12
"45 - 49",15,28,316,38,397,2021-02-12
"50 - 54",32,43,503,83,661,2021-02-12
"55 - 59",52,76,712,146,986,2021-02-12
"60 - 64",50,97,849,281,1277,2021-02-12
"65 - 69",60,105,792,441,1398,2021-02-12
"70 - 74",70,98,748,656,1572,2021-02-12
"75 - 79",25,51,410,476,962,2021-02-12
"80 - 84",7,8,99,177,291,2021-02-12
"85 - 89",2,0,14,31,47,2021-02-12
">90",0,0,3,2,5,2021-02-12
