"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,15,2,17,2021-03-03
"20 - 24",3,0,30,0,33,2021-03-03
"25 - 29",3,3,52,3,61,2021-03-03
"30 - 34",7,3,89,3,102,2021-03-03
"35 - 39",4,8,96,11,119,2021-03-03
"40 - 44",7,10,151,17,185,2021-03-03
"45 - 49",19,25,342,43,429,2021-03-03
"50 - 54",31,40,563,93,727,2021-03-03
"55 - 59",52,75,788,162,1077,2021-03-03
"60 - 64",68,105,923,296,1392,2021-03-03
"65 - 69",72,102,859,470,1503,2021-03-03
"70 - 74",55,114,826,690,1685,2021-03-03
"75 - 79",31,56,441,501,1029,2021-03-03
"80 - 84",6,7,106,188,307,2021-03-03
"85 - 89",1,0,15,31,47,2021-03-03
">90",0,0,3,2,5,2021-03-03
