"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,1,10,1,12,2020-12-01
"20 - 24",2,0,20,0,22,2020-12-01
"25 - 29",3,1,28,2,34,2020-12-01
"30 - 34",4,3,59,3,69,2020-12-01
"35 - 39",6,3,57,9,75,2020-12-01
"40 - 44",7,5,94,10,116,2020-12-01
"45 - 49",8,8,229,28,273,2020-12-01
"50 - 54",24,42,340,45,451,2020-12-01
"55 - 59",48,73,443,102,666,2020-12-01
"60 - 64",60,87,521,175,843,2020-12-01
"65 - 69",50,90,487,293,920,2020-12-01
"70 - 74",53,119,485,388,1045,2020-12-01
"75 - 79",35,60,245,323,663,2020-12-01
"80 - 84",16,9,57,121,203,2020-12-01
"85 - 89",2,3,6,21,32,2020-12-01
">90",0,0,1,3,4,2020-12-01
