"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,2,17,2,21,2021-04-16
"20 - 24",2,0,35,0,37,2021-04-16
"25 - 29",3,3,69,4,79,2021-04-16
"30 - 34",12,8,116,3,139,2021-04-16
"35 - 39",17,15,132,12,176,2021-04-16
"40 - 44",20,18,201,19,258,2021-04-16
"45 - 49",21,35,421,50,527,2021-04-16
"50 - 54",52,79,702,110,943,2021-04-16
"55 - 59",72,116,973,197,1358,2021-04-16
"60 - 64",73,121,1127,375,1696,2021-04-16
"65 - 69",92,167,1067,548,1874,2021-04-16
"70 - 74",77,145,973,805,2000,2021-04-16
"75 - 79",35,72,535,583,1225,2021-04-16
"80 - 84",9,4,123,210,346,2021-04-16
"85 - 89",3,0,15,33,51,2021-04-16
">90",0,0,4,2,6,2021-04-16
