"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",1,0,13,2,16,2021-02-07
"20 - 24",2,1,25,0,28,2021-02-07
"25 - 29",4,4,45,3,56,2021-02-07
"30 - 34",6,2,82,3,93,2021-02-07
"35 - 39",6,1,86,10,103,2021-02-07
"40 - 44",7,8,127,15,157,2021-02-07
"45 - 49",16,25,310,37,388,2021-02-07
"50 - 54",38,34,489,83,644,2021-02-07
"55 - 59",59,75,688,145,967,2021-02-07
"60 - 64",74,97,811,272,1254,2021-02-07
"65 - 69",69,112,753,435,1369,2021-02-07
"70 - 74",81,112,722,639,1554,2021-02-07
"75 - 79",31,40,400,472,943,2021-02-07
"80 - 84",9,10,96,173,288,2021-02-07
"85 - 89",2,0,14,31,47,2021-02-07
">90",0,0,3,2,5,2021-02-07
