"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",1,0,13,2,16,2021-02-13
"20 - 24",3,1,26,0,30,2021-02-13
"25 - 29",5,4,46,3,58,2021-02-13
"30 - 34",4,3,86,3,96,2021-02-13
"35 - 39",3,0,90,11,104,2021-02-13
"40 - 44",9,8,132,16,165,2021-02-13
"45 - 49",16,28,316,38,398,2021-02-13
"50 - 54",30,42,508,83,663,2021-02-13
"55 - 59",50,73,717,147,987,2021-02-13
"60 - 64",52,100,851,283,1286,2021-02-13
"65 - 69",59,100,797,445,1401,2021-02-13
"70 - 74",68,99,751,657,1575,2021-02-13
"75 - 79",26,48,411,478,963,2021-02-13
"80 - 84",7,10,99,177,293,2021-02-13
"85 - 89",2,0,14,31,47,2021-02-13
">90",0,0,3,2,5,2021-02-13
