"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,17,2,19,2021-04-02
"20 - 24",4,0,32,0,36,2021-04-02
"25 - 29",1,4,64,3,72,2021-04-02
"30 - 34",10,7,107,3,127,2021-04-02
"35 - 39",8,14,120,12,154,2021-04-02
"40 - 44",10,20,186,17,233,2021-04-02
"45 - 49",22,27,392,44,485,2021-04-02
"50 - 54",31,70,657,103,861,2021-04-02
"55 - 59",70,81,915,184,1250,2021-04-02
"60 - 64",59,110,1077,345,1591,2021-04-02
"65 - 69",74,148,997,518,1737,2021-04-02
"70 - 74",57,134,925,766,1882,2021-04-02
"75 - 79",34,82,502,551,1169,2021-04-02
"80 - 84",12,10,117,199,338,2021-04-02
"85 - 89",2,0,15,33,50,2021-04-02
">90",1,0,3,2,6,2021-04-02
