"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",2,1,16,2,21,2021-03-28
"20 - 24",3,1,32,0,36,2021-03-28
"25 - 29",1,2,63,3,69,2021-03-28
"30 - 34",8,5,104,3,120,2021-03-28
"35 - 39",5,14,115,12,146,2021-03-28
"40 - 44",15,15,175,17,222,2021-03-28
"45 - 49",25,22,379,45,471,2021-03-28
"50 - 54",36,56,638,100,830,2021-03-28
"55 - 59",64,89,892,174,1219,2021-03-28
"60 - 64",78,110,1034,335,1557,2021-03-28
"65 - 69",65,138,972,507,1682,2021-03-28
"70 - 74",62,118,903,749,1832,2021-03-28
"75 - 79",34,75,492,543,1144,2021-03-28
"80 - 84",9,5,116,198,328,2021-03-28
"85 - 89",2,0,15,33,50,2021-03-28
">90",0,0,3,2,5,2021-03-28
