"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",1,2,9,1,13,2020-12-13
"20 - 24",2,1,20,0,23,2020-12-13
"25 - 29",6,1,29,2,38,2020-12-13
"30 - 34",3,4,64,3,74,2020-12-13
"35 - 39",6,4,60,9,79,2020-12-13
"40 - 44",9,5,98,11,123,2020-12-13
"45 - 49",17,9,230,31,287,2020-12-13
"50 - 54",26,36,363,49,474,2020-12-13
"55 - 59",50,68,473,108,699,2020-12-13
"60 - 64",56,77,557,192,882,2020-12-13
"65 - 69",57,98,512,310,977,2020-12-13
"70 - 74",58,122,516,425,1121,2020-12-13
"75 - 79",30,56,266,347,699,2020-12-13
"80 - 84",18,15,61,132,226,2020-12-13
"85 - 89",2,2,6,22,32,2020-12-13
">90",1,0,1,2,4,2020-12-13
