"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,2,10,1,13,2020-11-26
"20 - 24",4,0,18,0,22,2020-11-26
"25 - 29",2,1,28,2,33,2020-11-26
"30 - 34",3,5,58,2,68,2020-11-26
"35 - 39",4,3,56,9,72,2020-11-26
"40 - 44",7,6,92,10,115,2020-11-26
"45 - 49",11,12,223,26,272,2020-11-26
"50 - 54",18,40,336,44,438,2020-11-26
"55 - 59",46,76,431,99,652,2020-11-26
"60 - 64",59,95,506,167,827,2020-11-26
"65 - 69",45,98,472,286,901,2020-11-26
"70 - 74",55,129,467,374,1025,2020-11-26
"75 - 79",36,62,236,311,645,2020-11-26
"80 - 84",18,13,53,116,200,2020-11-26
"85 - 89",2,2,6,19,29,2020-11-26
">90",0,0,1,3,4,2020-11-26
