"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,17,2,19,2021-04-04
"20 - 24",2,0,34,0,36,2021-04-04
"25 - 29",0,6,65,3,74,2021-04-04
"30 - 34",11,5,107,3,126,2021-04-04
"35 - 39",8,17,122,12,159,2021-04-04
"40 - 44",13,23,187,17,240,2021-04-04
"45 - 49",21,31,395,44,491,2021-04-04
"50 - 54",30,68,663,105,866,2021-04-04
"55 - 59",72,82,924,184,1262,2021-04-04
"60 - 64",60,112,1084,345,1601,2021-04-04
"65 - 69",74,158,1005,521,1758,2021-04-04
"70 - 74",57,138,931,769,1895,2021-04-04
"75 - 79",35,84,503,552,1174,2021-04-04
"80 - 84",11,9,118,201,339,2021-04-04
"85 - 89",2,0,15,33,50,2021-04-04
">90",1,0,3,2,6,2021-04-04
