"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,1,15,2,18,2021-03-09
"20 - 24",3,1,30,0,34,2021-03-09
"25 - 29",5,1,55,3,64,2021-03-09
"30 - 34",7,5,90,3,105,2021-03-09
"35 - 39",6,7,101,11,125,2021-03-09
"40 - 44",8,9,159,17,193,2021-03-09
"45 - 49",22,21,348,43,434,2021-03-09
"50 - 54",32,48,581,94,755,2021-03-09
"55 - 59",56,82,807,166,1111,2021-03-09
"60 - 64",65,119,947,304,1435,2021-03-09
"65 - 69",65,111,885,475,1536,2021-03-09
"70 - 74",60,106,843,704,1713,2021-03-09
"75 - 79",33,44,454,513,1044,2021-03-09
"80 - 84",11,9,106,189,315,2021-03-09
"85 - 89",1,0,15,31,47,2021-03-09
">90",0,0,3,2,5,2021-03-09
