"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,17,2,19,2021-04-03
"20 - 24",2,0,34,0,36,2021-04-03
"25 - 29",0,6,65,3,74,2021-04-03
"30 - 34",10,4,107,3,124,2021-04-03
"35 - 39",9,15,121,12,157,2021-04-03
"40 - 44",10,24,186,17,237,2021-04-03
"45 - 49",22,29,393,44,488,2021-04-03
"50 - 54",30,67,660,104,861,2021-04-03
"55 - 59",68,85,919,184,1256,2021-04-03
"60 - 64",59,106,1081,346,1592,2021-04-03
"65 - 69",76,154,998,519,1747,2021-04-03
"70 - 74",58,135,928,767,1888,2021-04-03
"75 - 79",33,82,503,551,1169,2021-04-03
"80 - 84",11,10,118,199,338,2021-04-03
"85 - 89",2,0,15,33,50,2021-04-03
">90",1,0,3,2,6,2021-04-03
