"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,10,1,11,2020-07-07
"20 - 24",3,1,7,0,11,2020-07-07
"25 - 29",1,1,14,2,18,2020-07-07
"30 - 34",0,0,32,3,35,2020-07-07
"35 - 39",1,1,34,6,42,2020-07-07
"40 - 44",1,3,51,5,60,2020-07-07
"45 - 49",8,0,134,20,162,2020-07-07
"50 - 54",16,3,212,24,255,2020-07-07
"55 - 59",21,5,274,76,376,2020-07-07
"60 - 64",20,3,324,100,447,2020-07-07
"65 - 69",18,9,301,183,511,2020-07-07
"70 - 74",21,6,298,229,554,2020-07-07
"75 - 79",11,7,137,164,319,2020-07-07
"80 - 84",2,1,19,43,65,2020-07-07
"85 - 89",1,0,4,9,14,2020-07-07
">90",0,0,0,0,0,2020-07-07
