"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,2,10,1,13,2020-11-10
"20 - 24",4,2,16,0,22,2020-11-10
"25 - 29",2,3,26,2,33,2020-11-10
"30 - 34",3,3,52,2,60,2020-11-10
"35 - 39",6,3,52,8,69,2020-11-10
"40 - 44",6,9,83,9,107,2020-11-10
"45 - 49",13,15,202,22,252,2020-11-10
"50 - 54",28,51,294,35,408,2020-11-10
"55 - 59",38,76,386,87,587,2020-11-10
"60 - 64",50,107,444,145,746,2020-11-10
"65 - 69",49,107,420,237,813,2020-11-10
"70 - 74",55,142,395,326,918,2020-11-10
"75 - 79",29,81,209,257,576,2020-11-10
"80 - 84",15,25,40,96,176,2020-11-10
"85 - 89",2,0,5,18,25,2020-11-10
">90",0,1,1,1,3,2020-11-10
