"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,1,8,1,10,2020-10-14
"20 - 24",1,2,11,0,14,2020-10-14
"25 - 29",1,1,22,2,26,2020-10-14
"30 - 34",1,4,40,2,47,2020-10-14
"35 - 39",7,4,40,7,58,2020-10-14
"40 - 44",5,8,66,7,86,2020-10-14
"45 - 49",6,17,165,19,207,2020-10-14
"50 - 54",8,26,253,29,316,2020-10-14
"55 - 59",16,23,327,80,446,2020-10-14
"60 - 64",14,56,370,115,555,2020-10-14
"65 - 69",19,51,345,200,615,2020-10-14
"70 - 74",17,72,344,252,685,2020-10-14
"75 - 79",11,45,173,189,418,2020-10-14
"80 - 84",8,14,29,55,106,2020-10-14
"85 - 89",0,1,5,16,22,2020-10-14
">90",0,0,0,0,0,2020-10-14
