"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",2,0,7,1,10,2020-05-26
"20 - 24",2,1,7,0,10,2020-05-26
"25 - 29",5,1,8,2,16,2020-05-26
"30 - 34",8,2,21,1,32,2020-05-26
"35 - 39",9,2,25,6,42,2020-05-26
"40 - 44",9,5,39,3,56,2020-05-26
"45 - 49",26,10,103,20,159,2020-05-26
"50 - 54",49,17,155,22,243,2020-05-26
"55 - 59",56,31,207,75,369,2020-05-26
"60 - 64",92,31,228,96,447,2020-05-26
"65 - 69",71,42,213,172,498,2020-05-26
"70 - 74",67,47,220,214,548,2020-05-26
"75 - 79",38,19,97,158,312,2020-05-26
"80 - 84",7,5,12,40,64,2020-05-26
"85 - 89",2,0,3,7,12,2020-05-26
">90",0,0,1,0,1,2020-05-26
