"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,1,18,3,22,2021-06-15
"20 - 24",3,0,44,0,47,2021-06-15
"25 - 29",2,0,91,6,99,2021-06-15
"30 - 34",3,3,160,5,171,2021-06-15
"35 - 39",9,4,183,14,210,2021-06-15
"40 - 44",13,5,286,25,329,2021-06-15
"45 - 49",20,15,551,62,648,2021-06-15
"50 - 54",39,31,943,136,1149,2021-06-15
"55 - 59",41,52,1309,238,1640,2021-06-15
"60 - 64",29,35,1438,447,1949,2021-06-15
"65 - 69",53,50,1408,705,2216,2021-06-15
"70 - 74",44,45,1270,974,2333,2021-06-15
"75 - 79",15,12,637,679,1343,2021-06-15
"80 - 84",2,0,137,229,368,2021-06-15
"85 - 89",0,1,17,36,54,2021-06-15
">90",0,0,4,2,6,2021-06-15
