"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,1,9,1,11,2020-06-17
"20 - 24",2,2,7,0,11,2020-06-17
"25 - 29",4,0,11,2,17,2020-06-17
"30 - 34",8,0,24,3,35,2020-06-17
"35 - 39",4,1,30,6,41,2020-06-17
"40 - 44",4,5,46,4,59,2020-06-17
"45 - 49",18,1,122,20,161,2020-06-17
"50 - 54",40,12,183,23,258,2020-06-17
"55 - 59",49,13,238,75,375,2020-06-17
"60 - 64",66,9,275,100,450,2020-06-17
"65 - 69",38,19,270,179,506,2020-06-17
"70 - 74",58,21,255,222,556,2020-06-17
"75 - 79",31,14,114,162,321,2020-06-17
"80 - 84",4,2,16,42,64,2020-06-17
"85 - 89",1,1,4,9,15,2020-06-17
">90",0,0,0,0,0,2020-06-17
