"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,1,18,3,22,2021-06-16
"20 - 24",3,0,44,0,47,2021-06-16
"25 - 29",2,0,91,6,99,2021-06-16
"30 - 34",3,4,160,5,172,2021-06-16
"35 - 39",8,5,184,14,211,2021-06-16
"40 - 44",12,5,287,25,329,2021-06-16
"45 - 49",20,12,553,62,647,2021-06-16
"50 - 54",38,26,946,136,1146,2021-06-16
"55 - 59",40,47,1313,239,1639,2021-06-16
"60 - 64",28,35,1440,447,1950,2021-06-16
"65 - 69",48,46,1418,705,2217,2021-06-16
"70 - 74",42,42,1274,975,2333,2021-06-16
"75 - 79",15,12,637,679,1343,2021-06-16
"80 - 84",2,0,137,229,368,2021-06-16
"85 - 89",0,1,17,36,54,2021-06-16
">90",0,0,4,2,6,2021-06-16
