"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",1,1,10,1,13,2020-12-08
"20 - 24",2,0,20,0,22,2020-12-08
"25 - 29",4,2,28,2,36,2020-12-08
"30 - 34",4,4,62,3,73,2020-12-08
"35 - 39",5,6,59,9,79,2020-12-08
"40 - 44",7,5,97,10,119,2020-12-08
"45 - 49",10,13,230,31,284,2020-12-08
"50 - 54",21,37,358,48,464,2020-12-08
"55 - 59",50,70,462,104,686,2020-12-08
"60 - 64",57,78,542,188,865,2020-12-08
"65 - 69",59,92,498,303,952,2020-12-08
"70 - 74",62,107,501,412,1082,2020-12-08
"75 - 79",35,58,255,334,682,2020-12-08
"80 - 84",19,11,57,128,215,2020-12-08
"85 - 89",2,2,6,22,32,2020-12-08
">90",0,0,1,3,4,2020-12-08
