"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,8,1,9,2020-08-16
"20 - 24",2,1,8,0,11,2020-08-16
"25 - 29",0,0,17,2,19,2020-08-16
"30 - 34",1,1,33,3,38,2020-08-16
"35 - 39",2,1,33,6,42,2020-08-16
"40 - 44",1,2,55,5,63,2020-08-16
"45 - 49",6,4,137,18,165,2020-08-16
"50 - 54",9,6,219,23,257,2020-08-16
"55 - 59",10,3,294,74,381,2020-08-16
"60 - 64",16,12,332,101,461,2020-08-16
"65 - 69",10,11,314,186,521,2020-08-16
"70 - 74",17,8,305,230,560,2020-08-16
"75 - 79",11,5,145,165,326,2020-08-16
"80 - 84",5,1,19,48,73,2020-08-16
"85 - 89",1,0,4,10,15,2020-08-16
">90",0,0,0,0,0,2020-08-16
