"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",2,0,15,2,19,2021-03-16
"20 - 24",4,0,30,0,34,2021-03-16
"25 - 29",2,0,59,3,64,2021-03-16
"30 - 34",5,5,96,3,109,2021-03-16
"35 - 39",7,12,106,11,136,2021-03-16
"40 - 44",8,9,165,17,199,2021-03-16
"45 - 49",21,19,360,44,444,2021-03-16
"50 - 54",37,46,594,94,771,2021-03-16
"55 - 59",62,86,836,167,1151,2021-03-16
"60 - 64",79,120,975,318,1492,2021-03-16
"65 - 69",73,114,915,485,1587,2021-03-16
"70 - 74",60,108,866,722,1756,2021-03-16
"75 - 79",34,58,471,523,1086,2021-03-16
"80 - 84",11,7,107,194,319,2021-03-16
"85 - 89",1,0,15,31,47,2021-03-16
">90",0,0,3,2,5,2021-03-16
